species,watering_frequency_days,fertilizing_frequency_days,sunlight_needs
Lemon Cypress,7,0,"Full, partial"
Lemon Lime Dracaena,7,30,medium to bright indirect light
Maranta leuconeura 'Lemon Lime',7,14,partial shade
Epipremnum aureum 'Lemon Meringue',7,30,"partial, low to bright indirect"
Citrus limon,7,30,Full sun
Aloysia citriodora,7,90,Full sun for 6-8 hours
Cymbopogon citratus,3,7,full sun
Lenten Rose,7,90,partial shade
Lens culinaris,7,30,Full sun
Farfugium japonicum,7,30,partial shade
Lactuca sativa,7,14,"Full sun, partial sun"
Leucadendron,7,365,Full sun
Leyland Cypress,3,365,"Full, partial"
Helichrysum petiolare,21,365,Full sun to partial shade
Licuala Grandis,7,90,"bright, indirect light"
Ligularia,7,30,partial shade
Syringa vulgaris,7,365,full sun
Lima Bean,7,60,Full sun
Citrus×latifolia,7,120,Full sun
Hydrangea paniculata 'Limelight',7,120,partial
Leonotis leonurus,7,365,full sun
Lipstick Palm,1,30,"Full, partial"
Aeschynanthus radicans,7,30,"bright, filtered light"
Liriope,7,365,partial shade
Lisianthus,7,7,"Full sun, 6-8 hours daily"
Lithodora,7,365,Full sun to partial shade
Little-Leaf Linden,7,365,Full sun to partial shade
Little Bluestem,7,365,Full sun
Magnolia grandiflora 'Little Gem',7,30,"partial sun, partial shade"
Spiraea japonica 'Little Princess',7,365,Full sun to partial shade
Lithops spp.,7,30,Full sun
Lobelia erinus,3,14,partial sun to full sun
Loblolly Pine,7,730,Full sun for 4-6 hours
Lombardy Poplar,14,365,Full sun
London Planetree,14,182,"Full sun, partial shade"
Gynura procumbens,3,14,full sun to partial shade
Longleaf Pine,7,365,Full sun
Eriobotrya japonica,7,90,full sun to partial shade
Lotus,1,20,Full sun
Nigella damascena,7,30,Full sun to partial shade
Amaranthus caudatus,7,30,Full to partial sun
Dracaena sanderiana,3,30,partial shade
Luffa,7,14,Full sun
Lungwort,7,365,partial shade
Litchi chinensis,7,60,Full sun
Macadamia Nut Tree,7,365,Full sun
Valerianella locusta,7,0,Full sun to part shade
Nephrolepis biserrata,3,42,bright but indirect sunlight or shade
Madagascar Palm,7,28,Full
Magnolia Ann,3,30,"Full sun, part shade"
Magnolia Grandiflora,7,120,Partial Shade
Mahonia,7,365,partial shade
Maidenhair Fern,7,30,bright indirect sunlight
Ravenea rivularis,7,30,"bright, indirect light"
Malabar Spinach,2,21,Full sun to partial shade
Mammillaria Cactus,14,90,"Full, Partial"
Mandevilla,3,14,"Full, partial"
Mangifera indica,3,365,full sun
Epipremnum aureum ‘Manjula’,7,30,"bright, indirect light"
Marble Queen Pothos,7,30,medium to bright indirect light
Argyranthemum frutescens,7,30,full sun
Marigold,7,365,Full sun
Althaea officinalis,2,365,full sun
Pistacia lentiscus,30,365,Full sun
Romneya coulteri,7,30,full sun
Salvia sylvestris,7,365,full sun
Mayapple,7,365,partial shade
Meadow Rue,7,365,partial shade
Melampodium,7,30,Full sunlight
Mesclun,1,7,Full to partial sun
Mexican Bird of Paradise,30,90,Full sun
Salvia leucantha,7,365,full sun
Washingtonia robusta,7,30,Full sun
Nassella tenuissima,14,365,Full
Ratibida columnifera,14,365,Full sun
Mexican Heather,7,7,Full sun or partial shade
Mexican Orange Plant,7,365,Full sun to partial shade
Ruellia simplex,7,365,Full sun to partial shade
Mexican Sunflower,7,365,Full sun
Meyer Lemon Tree,7,30,"Full, partial"
Silybum marianum,7,30,full sun
Asclepias syriaca,7,365,full sun
Pennisetum glaucum,7,365,full sun
Calibrachoaxhybrida,1,14,"Full sun, partial shade"
Miltonia Orchid,7,30,partial shade
Ming Aralia,7,30,"bright, indirect light"
Mini Monstera,7,30,"bright, indirect light"
Miniature Rose,7,28,Full sun
Mentha spp.,3,28,partial sun
Miscanthus,14,365,Full sun to partial shade
Mistletoe,0,0,partial sun
Rhipsalis baccifera,7,30,bright indirect light
Mock Orange Bush,7,365,"Full, partial"
Mona Lavender,3,42,partial
Pachira aquatica,7,30,bright to medium indirect sunlight
Monkey Flowers,3,28,"Full, Partial"
Araucaria araucana,7,365,"full sun, partial shade"
Cleistocactus Colademononis,7,30,"bright, indirect light"
Aconitum napellus,7,365,partial
Monstera Acacoyaguensis,7,30,"bright, indirect light"
Monstera Adansonii Variegated,7,30,indirect sunlight
Monstera Albo,7,30,"partial, indirect"
Monstera Deliciosa,7,21,partial
Monstera Dubia,7,30,"bright, indirect light"
Monstera Esqueleto,7,30,"bright, indirect light"
Monstera Lechleriana,7,30,bright to medium indirect light
Monstera Obliqua,14,30,"bright, indirect light"
Monstera Peru,7,21,indirect but bright light
Monstera Pinnatipartita,7,14,partial
Monstera Siltepecana,7,30,"bright, indirect light"
Monstera Standleyana Albo,7,30,"bright, indirect light"
Monstera deliciosa 'Thai Constellation',7,30,"bright, indirect light"
Gymnocalycium mihanovichii,7,30,partial shade
Moonflower,7,21,Full sun
Dracaena trifasciata ‘Moonshine’,14,30,bright to medium indirect light
Morel Mushrooms,1,30,partial shade
Moringa oleifera,3,30,Full sun
Ipomoea purpurea,7,28,full sun
Solanum lycopersicum 'Mortgage Lifter',7,30,"Full sun, 6-8 hours daily"
Portulaca grandiflora,7,30,full sun
Kalanchoe spp.,21,90,"Full, partial"
Mountain Laurel,7,365,partial shade
Artemisia vulgaris,7,30,full sun
Mulberry,7,365,Full to partial sun
Verbascum thapsus,7,30,full sun
Chrysanthemum,7,14,Full sun
Lavandula angustifolia ‘Munstead’,7,365,"Full sun, 6-8 hours per day"
Mustard Plant,7,21,Full sun
Myrtus communis,7,7,full to partial sun
N'Joy Pothos,7,30,"bright, indirect light"
Nanking Cherry,7,365,Full sun to part shade
Nasturtium,7,0,"Full sun, 6-8 hours of direct sunlight"
Natal Plum,7,30,"Full, partial"
Nemesia,3,30,partial
Neon Pothos,7,30,partial shade
Neoregelia Bromeliad,7,180,indirect
Fittonia albivenis,2,7,"bright, indirect light"
Ctenanthe spp.,7,30,medium to bright indirect light
Ctenanthe Setosa 'Grey Star',3,30,bright but indirect sunlight
New England Aster,7,365,Full sun
Impatiens hawkeri,3,10,partial
Vernonia noveboracensis,7,365,full sun
New Zealand Flax,7,365,Full sun to partial shade
New Zealand Tea Tree,7,730,Full sun
Night-Blooming Jasmine,7,30,"Full sun, Partial shade"
Physocarpus opulifolius,30,365,full sun to partial shade
Nipponanthemum nipponicum,14,365,Full sun to partial shade
Araucaria heterophylla,14,30,Full sun
Diervilla lonicera,7,365,partial
Norway Spruce,7,365,Full to Partial
Rhododendron x 'Nova Zembla',7,30,Partial to Full Sun
Nutmeg Tree,3,90,partial
Hydrangea quercifolia,7,365,partial
October Glory Maple,7,365,Full sun to partial shade
Abelmoschus esculentus,7,30,Full sun
Nerium oleander,7,365,"Full sun, partial shade"
Alliumcepa,7,21,Full sun
Hemerocallis fulva,7,365,"Full sun, at least six hours of direct sunlight"
Orange Jasmine,7,21,partial
Lilium bulbiferum,7,365,Full sun to partial shade
Citrus sinensis,7,30,Full sun for 8-10 hours a day
Orchid Cactus,7,180,partial sun
Oregano,7,365,Full sun
Celastrus orbiculatus,7,30,full sun to shade
Papaver orientale,7,365,full sun
Ornamental Cabbage,7,0,Full sun to partial shade
Capsicum annuum,7,42,Full sun
Acer palmatum'Osakazuki',7,365,partial
"Rosa x hybrida, Rosa 'Osiria'",3,120,Full sun
Matteuccia struthiopteris,7,365,partial to full shade
Oxalis,14,30,bright indirect light
Oxeye Daisy,7,0,"Full sun, partial sun"
Pagoda Dogwood,7,365,partial sun or dappled shade
Tanacetum coccineum,7,365,full sun to partial shade
Philodendron erubescens 'Painted Lady',7,30,"bright, indirect light"
Palm Tree,7,30,partial shade
Cortaderia selloana,7,365,full sun to partial sun
Pansy,7,30,partial shade
Carica papaya,3,21,full sun
Betula papyrifera,7,365,partial
Paperbark Maple,7,365,"Full sun, partial shade"
Narcissus papyraceus,7,0,"Full, Partial"
Paphiopedilum Orchid,3,7,partial
Cyperus papyrus,3,90,Full sun to partial shade
Chamaedorea elegans,7,30,"bright, indirect light"
Parsley,7,14,Full sun
Passionflower,3,28,Full sun to partial shade
Cucurbita pepovar.clypeata,7,28,Full sun
Pawpaw,3,30,"Full, partial"
Peace Lily,7,7,"bright, indirect light"
Rosa‘Madame A. Meilland’,7,30,Full
Prunus persica,7,365,Full sun
Calathea makoyana,7,14,partial shade
Clerodendrum trichotomum,7,30,Full to partial sun
Arachis hypogaea,7,365,full sun
Epipremnum aureum'Pearls and Jade',7,30,"bright, indirect light"
Euphorbia tirucalli,21,365,"Full sun, at least six hours of sunlight daily"
Pennisetum,3,365,full sun
Hydrangea macrophylla 'Penny Mac',7,365,partial sun
Mentha pulegium,1,30,partial
Paeonia officinalis,7,365,Full sun
Peperomia,7,30,medium to bright indirect light
Peperomia Caperata,7,30,partial
Peperomia clusiifolia 'Ginny',7,30,bright indirect light
Peperomia Hope,7,30,"bright, indirect light"
Peperomia Pixie Lime,14,30,"bright, indirect light"
Peperomia Rosso,7,14,medium to bright indirect light
Peperomia Rotundifolia,7,30,bright indirect light
Piper nigrum,3,14,partial sun to bright direct light
Mentha×piperita,2,365,full sun
Ranunculus asiaticus,7,14,full sun
Persian Shield,7,14,partial sun
Albiziajulibrissin,7,365,Full
Persian Violet,2,7,"bright, indirect light"
Peruvian Lily,7,14,Full sun with partial shade in hotter climates
Petunia,3,14,Full sun
Phalaenopsis Orchid,7,21,"bright, indirect light"
Philodendron,7,30,bright but indirect
Philodendron Billietiae,7,30,bright indirect light
Philodendron Birkin,7,60,"bright, indirect light"
Philodendron erubescens 'Black Cardinal',7,21,"bright, indirect light"
Philodendron Brandtianum,3,30,"bright, indirect light"
Philodendron Brasil,7,30,"bright, indirect light"
Philodendron Burle Marx,7,28,"bright, indirect light"
Philodendron erubescens ‘Dark Lord’,7,21,bright to medium indirect light
Philodendron Erubescens,7,15,partial shade
Philodendron Florida Beauty,7,30,bright but indirect light
Philodendron Florida Ghost,7,30,"Bright, indirect light"
Philodendron Florida Green,7,30,"bright, indirect light"
Philodendron Gloriosum,7,30,"bright, indirect light"
Philodendron Imperial Green,7,30,"bright, indirect light"
Philodendron erubescens 'Imperial Red',7,30,"bright, indirect light"
Philodendron Mamei,7,14,bright but indirect light
Philodendron Mayoi,7,60,bright indirect
Philodendron Melanochrysum,7,30,"bright, indirect light"
Philodendron Micans,7,30,"bright, indirect light"
Philodendron Moonlight,7,30,"bright, indirect light"
Philodendron Paraiso Verde,7,28,bright indirect light
Philodendron erubescens 'pink princess',7,30,"bright, indirect light"
Philodendron Plowmanii,7,30,partial
Philodendron erubescens 'Prince of Orange',7,14,bright but indirect light
Philodendron Ring of Fire,7,30,bright indirect
Philodendron Rio,7,60,bright but indirect light
Philodendron Rojo Congo,7,30,partial
Philodendron Rugosum,7,30,"Bright, indirect sunlight"
Philodendron hastatum ‘Silver Sword’,7,14,"bright, indirect light"
Philodendron Spiritus-Sancti,7,365,bright but indirect
Philodendron Splendid,7,30,bright indirect sunlight
Philodendron Squamiferum,7,14,"bright, indirect light"
Philodendron Verrucosum,7,30,bright indirect
Philodendron White Princess,7,21,"bright, indirect light"
Thaumatophyllum xanadu,7,30,"bright, indirect light"
Phlox,7,365,partial to full sun
Pilea Glauca,7,30,"bright, indirect light"
Pilea Involucrata,7,30,"bright, indirect light"
Pilea Microphylla,7,14,partial
Ananas comosus,7,30,"Bright, indirect"
Pineapple Guava,7,180,"Full, Partial"
Pineapple Lily,7,14,"Full sun, partial shade in southern gardens"
Pineapple Sage,7,365,"Full Sun, Partial Shade"
Solanum lycopersicum 'Pineapple',7,30,Full sun
Pink Brandywine Tomato,2,14,Full sun
Pink Dogwood,7,365,partial shade
Oenothera speciosa,7,365,full sun
Pink Lemonade Blueberry Bush,7,365,Full Sun to Partial Sun
Muhlenbergia capillaris,14,365,Full to partial sunlight
Phaseolus vulgaris,7,0,Full sun
Pistacia vera,14,365,Full sun
Nepenthes spp.,7,30,"bright, indirect light"
Plectranthus,7,30,partial
Prunus mume,7,90,"Full, Partial"
Plumeria,7,30,"Full sun, partial shade"
Podocarpus,7,365,"Full, partial"
Poinsettia,7,21,Bright indirect or diffused light
Conium maculatum,7,30,partial shade to full sun
Pokeweed,7,30,full sun
Polka Dot Plant,7,30,"bright, indirect light"
Ponderosa Pine,7,365,Full sun
Beaucarnea recurvata,10,7,Full sun or bright indirect light
Pop Star Hydrangea,3,120,partial shade
Senna didymobotrya,1,30,full sun
Papaver rhoeas,14,90,"Full sun, partial shade"
Portulaca,7,0,Full sun
Solanum tuberosum,7,90,Full sun
Epipremnum aureum,7,30,bright but indirect light
Prairie Dropseed,7,365,Full sun to partial shade
Geum triflorum,7,365,full sun
Maranta leuconeura,3,14,partial shade
Opuntiaspp.,21,90,full sun
Echium candicans,7,180,"Full sun, partial sun"
Primula spp.,3,14,partial shade
Tibouchina urvilleana,7,90,Full sun with partial shade
Privet,7,180,"Full, partial"
Protea,14,365,full sun
Ptilotus exaltatus,30,90,Full sun
Cucurbitaspp.,7,14,Full sun
Solanum integrifolium,7,14,full sun
Purple Basil,7,14,Full sun
Pennisetum setaceum 'Rubrum',3,30,"Full, partial"
Tradescantia pallida 'Purple Heart',7,365,Full sun to partial shade
Lablab purpureus,2,28,Full sun
Purple Leaf Sand Cherry,7,365,Full to partial sun
Gynura aurantiaca,7,14,"partial bright sunlight, filtered sunlight or indirect sunlight"
Passiflora incarnata,7,30,"Full, partial sun"
Oxalis triangularis,7,30,Full sun to partial shade
Prunus cerasifera,7,365,"Full sun, 6-8 hours/day"
Pussy Willow,7,365,"Full, partial"
Quaking Aspen,14,365,Full sun
Daucus carota,14,30,Full to partial sun
Rosa‘Queen Elizabeth’,7,90,"Full sun, at least 6-8 hours of direct sunlight per day"
Hydrangea paniculata‘Bulk’,3,365,Full sun to partial sun
Chenopodium quinoa,7,0,partial
Raphanus sativus,7,0,full sun
Zephyranthes candida,7,30,"Full sun, partial shade"
Portulacaria afra 'Variegata,12,365,"Full, partial"
Rambutan,3,30,Full sun
Allium tricoccum,7,365,partial shade
Ranunculus,7,14,Full sun
Rubus idaeus,7,14,Full sun
Rat Tail Cactus,7,14,Full
Goeppertia insignis,7,30,"bright, indirect light"
Zamioculcas zamiifolia‘Raven’,14,21,partial shade
Red-Twig Dogwood,7,365,"Full, partial"
Red Button Ginger,7,30,partial sun to partial shade
Red Currant,7,365,Full sun to partial shade
Acer palmatum var. dissectum 'Red Dragon',3,365,partial
Red Flowering Currant,7,365,"Full, Partial"
Red Hot Poker,7,365,Full sun
Red Maple,7,365,"Full, partial"
Red Mulberry,7,365,"Full, partial"
Red Oak,7,365,"Full, partial"
Red Onion,7,14,Full sun
Lycoris radiata,7,365,partial shade
Red Sunset Maple,7,365,"Full, partial"
Red Tip Photinia,7,365,Full sun to partial shade
Lycoris squamigera,7,30,Full sun to partial shade
Selaginella lepidophylla,7,180,"bright, indirect light"
Begonia rex-cultorum,7,14,partial shade
Rhaphidophora Decursiva,7,30,"bright, indirect light"
Rhipsalis Cactus,7,14,"partial shade, indirect, dappled light"
Rhododendron,14,365,partial shade
Rhododendron English Roseum,7,365,partial shade
Rhododendron maximum,7,365,partial shade
Rheum rhabarbarum,7,365,"Full sun, partial sun"
River Birch,7,365,Full sun to partial shade
Phoenix roebelenii,2,30,"Full, partial"
Aubrieta deltoidea,7,365,full sun
Rockrose,7,365,Full sun
Cotoneaster horizontalis,7,365,full sun
Roma Tomato,7,30,Full sun
Romaine Lettuce,3,14,"Full sun, partial shade"
Piper auritum,1,30,"bright, indirect morning light"
Rose,3,30,"Full sun, 6 hours per day, preferably morning sun"
Rose Campion,7,90,partial to full sun
Hibiscus syriacus,7,365,"Full sun, at least 6 hours of direct sunlight"
Rosemary,7,30,Full sun
Ficus elastica,7,14,"bright, indirect light"
Ruta graveolens,14,0,Full sun
Rosa rugosa,3,365,Full sun
Herniaria glabra,30,365,Full sun to partial shade
Ruscus,3,0,partial shade
Russian Sage,7,365,full sun
Cycas revoluta,7,30,"bright, indirect light"
San Marzano Tomato,2,14,Full sun
Amelanchier alnifolia,14,365,Full sun or partial shade
Sassafras albium,7,365,Full sun to part shade
Scindapsus pictus,7,30,partial
Satsuma Mandarin,7,365,"Full sun, 8-10 hours of direct sunlight"
Saucer Magnolia,7,365,"Full sun, partial shade"
Scabiosa,7,60,Full sun to partial shade
Allium fistulosum,1,7,full sun
Pelargonium,7,21,Full sun to partial shade
Schefflera,7,3,bright indirect light
Scindapsus Pictus Exotica,7,30,"bright, indirect light"
Pinus sylvestris,7,365,Full sun
Arenaria verna,3,365,Full sun to partial shade
Sea Holly,14,0,Full sun
Limonium latifolium,7,90,full sun
Sedum,7,365,"Full sun, partial shade"
Selaginella Kraussiana,7,180,partial shade
Mimosa pudica,3,21,"full, partial"
Serrano Pepper,2,7,Full sun
Sesamum indicum,7,14,full sun
Shallot,7,365,Full sun
Shasta Daisy,7,365,"Full, partial"
Shishito Pepper,7,28,Full sun
Justicia brandegeana,7,28,partial shade to full sun
Siberian Bugloss,7,365,partial shade
Siberian Iris,7,90,"Full, partial"
Silky Dogwood,7,365,partial sun
Silver Birch,7,365,partial
Dichondra argentea,9,365,Full sun to light shade
Silver Maple,7,0,Full to partial sun
Artemisia schmidtiana 'Silver Mound',7,365,"Full, partial"
Ledebouria socialis,14,60,bright indirect sun
Diphylleia grayi,7,365,partial shade
Tillandsia ionantha,14,30,"bright, indirect light"
Juniperus scopulorum,7,180,Full sun
Euphorbia lomelii,15,30,Full sun
Cotinus coggygria,10,365,full sun
Hydrangea arborescens,7,30,partial shade
Dracaena trifasciata,14,180,indirect sunlight
Pisum sativum,7,0,"Full sun, partial shade"
Snapdragon,7,30,Full sun to partial shade
Cerastium tomentosum,7,365,full sun
Pisum sativum L (Macrocarpon group),7,0,Full sun to partial shade
Epipremnum aureum 'Snow Queen',7,30,"partial shade, bright indirect light"
Viburnumxcarlcephalum,7,365,"Full, partial"
Galanthus nivalis,14,365,Full sun to partial shade
Tulbaghia violacea,7,365,Full sun
Polygonatum spp.,7,365,partial shade
Dracaena reflexa,7,14,"bright, indirect sunlight"
Oxydendrum arboreum,7,365,"Full sun, part shade, shade"
Cucurbita pepovar,7,14,Full sun
Hyacinthoides hispanica,7,90,partial
Lavendula stoechas,7,365,full sun
Lindera benzoin,7,120,Full to Partial
Spider Lily,7,90,Full to partial sun
Spiderwort,7,60,bright but indirect sunlight
Spinacia oleracea,3,7,partial sun to full sun
Spineless Yucca,14,90,Full sun
Spiraea,7,365,full sun
Lamium maculatum,7,30,partial shade
Centranthus ruber,30,365,"Full, partial"
Euphorbia maculata,7,30,full sun
St. Augustine Grass,7,30,Full sun
Hypericum perforatum,7,365,Full sun to partial shade
Platycerium bifurcatum,7,30,partial
Astrophytum spp.,30,30,"Full sun, at least 6 hours of direct sunlight per day"
Star of Bethlehem,7,365,"Full sun, at least 6 hours of direct sunlight"
Starfish Cactus,14,60,Full to partial sunlight
Lilium orientalis 'Stargazer',7,21,Full sun
Hemerocallis 'Stella d'Oro',7,365,full sun
Stephanotis,7,30,"Full, partial"
Stewartstonian Azalea,3,365,partial sunlight
Stinging Nettle,14,30,"Full, partial"
Stone Pine,7,365,Full sun
Strawberry,7,30,6-8 hours direct sun per day
Fragariaxananassa,7,21,full sun
Philodendron erubescens ‘Strawberry Shake’,7,30,"bright, indirect light"
Hydrangea paniculata ‘Strawberry Sundae’,7,30,"Full sun, at least 6 hours of direct sunlight"
Xerochrysum bracteatum,7,30,Full sun to partial shade
Phaseolus vulgaris,7,30,full sun
String of Bananas,7,90,"Full sun, at least six hours of direct sunlight"
Crassula perforata,7,365,indirect sunlight
Senecio peregrinus,14,30,Full sun to medium light
String of Hearts,7,14,"bright but dappled, filtered sunlight"
String of Pearls,10,14,partial
String of Rubies,14,30,Full sun to partial shade
Peperomia prostrata,7,14,Bright but indirect light
Succulent Senecio,14,365,"Full, partial"
Saccharum officinarum,7,7,full sun
Acer saccharum,3,365,"Full sun, partial shade"
Malus 'Sutyzam',14,365,Full sun
Sunburst Honey Locust,7,365,Full sun
Drosera capensis,1,30,"Full sun, partial sun"
Helianthus annuus,2,30,full sun
Lycopersicon esculentum'Sungold',7,30,Full sun
Impatiens x hybrida 'SunPatiens',1,30,Full sun to partial shade
Hibiscus coccineus,7,30,Full sun to partial shade
Asclepias incarnata,7,30,Full sun
Quercus bicolor,7,365,Full sun to partial sun
Swedish Ivy,7,14,"Bright, indirect light"
Clematis terniflora,7,21,"Full sun, partial shade"
Zea mays,7,30,full sun
Lathyrus odoratus,7,30,"Full, partial"
Sweet Pea Shrub,7,365,Full sun or lightly dappled
Ipomoea batatas,7,90,Full sun to part shade
Ipomoea batatas,3,7,Full sun to partial shade
Dianthus barbatus,7,42,"Full, partial"
Galium odoratum,30,365,partial shade
Sweetbay Magnolia,7,365,"Full, partial"
Monstera adansonii,7,30,bright but indirect light
Panicum virgatum,7,365,"Full sun, partial shade"
Sycamore,7,365,full sun
Syngonium albo,7,30,"bright, indirect light"
Festuca arundinacea,7,30,Full sun to partial shade
Larix laricina,7,365,full sun
Hydrangea paniculata ‘Tardiva’,3,365,Partial
Artemisia dracunculus,3,0,Part Sun/Part Shade
Juniperus virginiana'Taylor',7,365,Full sun
Osmanthus fragrans,7,365,partial
Camellia sinensis,1,14,partial sun to full sun
Teddy Bear Cactus,14,30,Full sun
Helianthus annuus 'Teddy Bear',7,30,Full sun
Texas Mountain Laurel,7,365,Full sun to part shade
Hibiscus coccineus,1,30,"Full sun, partial shade"
Thai Basil,1,21,Full to Partial
Thai Pepper,2,30,"Full sun, 6 to 8 hours daily"
Schlumbergera truncata,7,14,partial shade
Thymus vulgaris,14,365,full sunlight
Thymus vulgaris,7,30,full sunlight
Cordyline fruticosa,7,30,bright indirect light
Gonialoe variegata,14,365,Full sun to partial shade
Faucaria tigrina,7,30,"Full, partial"
Lilium lancifolium,7,180,"Full, partial"
Toad Lily,3,365,partial shade
Tomatillo,3,14,Full sun
Solanum lycopersicum,1,7,full sun
Torch Ginger,3,30,partial
Totem Pole Cactus,14,30,"Full, direct sunlight for several hours daily"
Tradescantia fluminensis'Nanouk',7,30,"Bright, indirect light"
Trailing Lantana,7,30,Full sun
Hydrangea paniculata,7,180,Full sun to partial shade
Tree Peony,7,30,Full sun to dappled shade
Tree Philodendron,7,30,"bright, indirect sunlight"
Fagus sylvatica'Roseo-Marginata'/'Purpurea Tricolor',7,365,partial shade
Stromanthe sanguinea,7,14,"indirect, dappled light"
Hibiscus rosa-sinensis,1,7,full sun to partial shade
Trumpet Vine,7,0,"Full, partial"
Liriodendron tulipifera,7,365,Full sun or partial sun
Tulip,14,365,Full sun
Curcuma longa,7,30,"Full sun, partial sun"
Callisia repens,7,30,partial shade or bright but indirect light
Turtlehead,7,365,"Full, partial"
Diascia,3,30,partial
Utah Juniper,30,0,Full sun to partial shade
Vanda Orchid,1,7,"bright, partial"
Vanilla planifolia,3,14,partial shade
Hydrangea paniculata'Renhy',7,365,"Full sun, 6-8 hours per day"
Variegated String of Hearts,7,180,"Bright, indirect light"
Venus Fly Trap,7,0,"Full, partial"
Verbena x hybrida,7,30,full sun
Veronica Spicata,7,365,Full sun
Viburnum,7,365,"Full, partial"
Vinca minor,7,30,partial shade
Jasminum polyanthum,7,14,full to partial sun
Viola,3,90,partial
Mertensia virginica,7,365,partial shade
Parthenocissus quinquefolia,7,365,"Full, Partial"
Itea virginica,7,365,Full sun to partial shade
Wallflower,7,365,Full sun to partial shade
Gaura (Wandflower),7,365,Full sun
Wasabia japonica,7,30,full shade
Washington Hawthorn,7,730,full sun
Pistia stratiotes,1,7,partial
Nymphaea,7,30,"Full sun, 4-6 hours"
Nasturtium officinale,1,21,Full sun to partial shade
Citrillus lunatus,7,30,Full sun
Watermelon Peperomia,7,14,bright to medium indirect light
Begonia x semperflorens-cultorum,7,7,"bright, indirect light"
Prunus pendula'Pendula Rosea',7,365,Full sun
Ficus benjamina,7,30,"bright, indirect light or partial direct sun"
Weeping Norway Spruce,7,1095,Full to Partial
Cercis canadensis,7,365,"Full, partial"
Weeping Willow,7,365,Full sun to partial shade
Weigela florida,30,365,Full sun
Dracaena masoniana,14,365,"bright, indirect light"
Triticum aestivum,7,0,full sun
White Clover,3,365,partial sun
White Egret Orchid,3,30,Full sun to part shade
Hosta 'White Feather',3,30,partial shade
White Fir,7,365,Full to partial sun
White Oak,7,365,Full sun
White Spruce,7,365,"Full, Partial"
White Willow,7,0,Full sun
Philodendron erubescens 'White Wizard',7,14,"partial, indirect"
Asarum Canadense,7,30,partial shade
Wild Red Raspberry,7,30,partial shade to full sun
Wild Strawberry,7,180,"part sun, part shade"
Erica Carneasyn.Erica herbacea,7,365,"Full, Partial"
Winter Jasmine,7,730,"Full, partial"
Winter Pansy,3,14,Full to part sun
Winterberry Holly,7,365,Full sun to partial shade
Euonymus fortunei,7,365,partial
Wishbone Flower,3,21,partial
Wisteria,7,365,full sun to partial shade
Witch Hazel,7,30,Full to partial sun
Sorghastrum nutans,14,365,full sun
Phlox divaricata,7,365,partial shade
Xanthosoma,7,21,"Full, partial"
Achillea millefolium,7,365,full sunlight
Ilex vomitoria,7,182,"full, partial sun"
Yellow Bells,7,365,Full sun
Yellow Bird Magnolia,7,365,"Full, Partial"
Yellow Iris,1,365,partial to full sun
Solanum lycopersicum 'Yellow Pear',7,42,Full sun
Ilex paraguariensis,2,14,full sun/partial shade
Yew Tree,7,365,partial shade
Yucca Plant,7,30,"bright, indirect light"
Miscanthus sinensis'Zebrinus',7,365,Full sun
Aphelandra squarrosa,14,7,"partial, dappled"
Zinnia elegans,7,60,Full sun
Zoysia Grass,7,30,Full sun
Zamioculcas zamiifolia,21,180,Bright to low indirect light
